month,total_flights,days_with_data,min_daily,max_daily,median_daily,mean_daily,sem_daily,unique_aircraft
2025-01,476,31,5,27,15.0,15.4,1.07,228
2025-02,422,28,4,24,15.0,15.1,0.87,187
2025-03,462,31,2,28,15.0,14.9,0.97,210
2025-04,476,30,6,31,15.0,15.9,1.15,252
2025-05,589,31,6,32,19.0,19.0,1.19,277
2025-06,667,30,11,36,22.5,22.2,1.36,300
2025-07,612,28,10,41,19.0,21.9,1.63,286
2025-08,638,30,9,43,21.5,21.3,1.55,317
2025-09,471,26,3,45,14.5,18.1,2.08,252
2025-10,391,27,1,29,11.0,14.5,1.46,219
2025-11,560,29,2,71,14.0,19.3,3.23,292
2025-12,1700,29,33,89,57.0,58.6,3.05,652
2026-01,1802,31,24,83,61.0,58.1,2.89,703
2026-02,1377,25,23,109,49.0,55.1,4.13,602
2026-03,1338,29,18,87,35.0,46.1,4.21,584
2026-04,1244,29,16,74,44.0,42.9,2.73,579
2026-05,1295,28,20,100,42.5,46.2,3.57,582
2026-06,1201,25,18,114,46.0,48.0,4.69,588
2026-07,1865,26,17,121,72.0,71.7,5.95,791
2026-08,2507,30,47,128,88.5,83.6,3.98,879
