"REF_DATE","GEO","DGUID","Airports","Class of operation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-01","Canada","2021A000011124","Total, all airports","Total, itinerant and local movements","Number","223","units","0","v1374990321","1.100001.1","392372","","","","0"
"2019-01","Canada","2021A000011124","Total, all airports","Itinerant movements","Number","223","units","0","v1374990322","1.100001.2","293439","","","","0"
"2019-01","Canada","2021A000011124","Total, all airports","Local movements","Number","223","units","0","v1374990323","1.100001.3","98933","","","","0"
"2019-01","Canada","2021A000011124","Total, all airports","Civil local movements","Number","223","units","0","v1374990324","1.100001.4","98671","","","","0"
"2019-01","Canada","2021A000011124","Total, all airports","Military local movements","Number","223","units","0","v1374990325","1.100001.5","262","","","","0"
"2019-01","Canada","2021A000011124","Total, NAV CANADA towers and flight service stations","Total, itinerant and local movements","Number","223","units","0","v1374990326","1.100002.1","376562","","","","0"
"2019-01","Canada","2021A000011124","Total, NAV CANADA towers and flight service stations","Itinerant movements","Number","223","units","0","v1374990327","1.100002.2","278669","","","","0"
"2019-01","Canada","2021A000011124","Total, NAV CANADA towers and flight service stations","Local movements","Number","223","units","0","v1374990328","1.100002.3","97893","","","","0"
"2019-01","Canada","2021A000011124","Total, NAV CANADA towers and flight service stations","Civil local movements","Number","223","units","0","v1374990329","1.100002.4","97631","","","","0"
"2019-01","Canada","2021A000011124","Total, NAV CANADA towers and flight service stations","Military local movements","Number","223","units","0","v1374990330","1.100002.5","262","","","","0"
"2019-01","Canada","2021A000011124","Abbotsford, British Columbia","Total, itinerant and local movements","Number","223","units","0","v1331261790","1.1.1","12022","","","","0"
"2019-01","Canada","2021A000011124","Abbotsford, British Columbia","Itinerant movements","Number","223","units","0","v1331261791","1.1.2","4768","","","","0"
"2019-01","Canada","2021A000011124","Abbotsford, British Columbia","Local movements","Number","223","units","0","v1331261792","1.1.3","7254","","","","0"
"2019-01","Canada","2021A000011124","Abbotsford, British Columbia","Civil local movements","Number","223","units","0","v1331261793","1.1.4","7254","","","","0"
"2019-01","Canada","2021A000011124","Abbotsford, British Columbia","Military local movements","Number","223","units","0","v1331261794","1.1.5","","..","","","0"
"2019-01","Canada","2021A000011124","Boundary Bay, British Columbia","Total, itinerant and local movements","Number","223","units","0","v1374990591","1.5069.1","13381","","","","0"
"2019-01","Canada","2021A000011124","Boundary Bay, British Columbia","Itinerant movements","Number","223","units","0","v1374990592","1.5069.2","4975","","","","0"
"2019-01","Canada","2021A000011124","Boundary Bay, British Columbia","Local movements","Number","223","units","0","v1374990593","1.5069.3","8406","","","","0"
"2019-01","Canada","2021A000011124","Boundary Bay, British Columbia","Civil local movements","Number","223","units","0","v1374990594","1.5069.4","8406","","","","0"
"2019-01","Canada","2021A000011124","Boundary Bay, British Columbia","Military local movements","Number","223","units","0","v1374990595","1.5069.5","","..","","","0"
"2019-01","Canada","2021A000011124","Brandon Municipal, Manitoba","Total, itinerant and local movements","Number","223","units","0","v1331261805","1.11.1","671","","","","0"
"2019-01","Canada","2021A000011124","Brandon Municipal, Manitoba","Itinerant movements","Number","223","units","0","v1331261806","1.11.2","277","","","","0"
"2019-01","Canada","2021A000011124","Brandon Municipal, Manitoba","Local movements","Number","223","units","0","v1331261807","1.11.3","394","","","","0"
"2019-01","Canada","2021A000011124","Brandon Municipal, Manitoba","Civil local movements","Number","223","units","0","v1331261808","1.11.4","394","","","","0"
"2019-01","Canada","2021A000011124","Brandon Municipal, Manitoba","Military local movements","Number","223","units","0","v1331261809","1.11.5","","..","","","0"
"2019-01","Canada","2021A000011124","Calgary International, Alberta","Total, itinerant and local movements","Number","223","units","0","v1331261810","1.13.1","20252","","","","0"
"2019-01","Canada","2021A000011124","Calgary International, Alberta","Itinerant movements","Number","223","units","0","v1331261811","1.13.2","20186","","","","0"
"2019-01","Canada","2021A000011124","Calgary International, Alberta","Local movements","Number","223","units","0","v1331261812","1.13.3","66","","","","0"
"2019-01","Canada","2021A000011124","Calgary International, Alberta","Civil local movements","Number","223","units","0","v1331261813","1.13.4","66","","","","0"
"2019-01","Canada","2021A000011124","Calgary International, Alberta","Military local movements","Number","223","units","0","v1331261814","1.13.5","","..","","","0"
"2019-01","Canada","2021A000011124","Calgary/Springbank, Alberta","Total, itinerant and local movements","Number","223","units","0","v1374990586","1.5055.1","12131","","","","0"
"2019-01","Canada","2021A000011124","Calgary/Springbank, Alberta","Itinerant movements","Number","223","units","0","v1374990587","1.5055.2","4497","","","","0"
"2019-01","Canada","2021A000011124","Calgary/Springbank, Alberta","Local movements","Number","223","units","0","v1374990588","1.5055.3","7634","","","","0"
"2019-01","Canada","2021A000011124","Calgary/Springbank, Alberta","Civil local movements","Number","223","units","0","v1374990589","1.5055.4","7634","","","","0"
"2019-01","Canada","2021A000011124","Calgary/Springbank, Alberta","Military local movements","Number","223","units","0","v1374990590","1.5055.5","","..","","","0"
"2019-01","Canada","2021A000011124","Campbell River, British Columbia","Total, itinerant and local movements","Number","223","units","0","v1331262080","1.105.1","2365","","","","0"
"2019-01","Canada","2021A000011124","Campbell River, British Columbia","Itinerant movements","Number","223","units","0","v1331262081","1.105.2","799","","","","0"
"2019-01","Canada","2021A000011124","Campbell River, British Columbia","Local movements","Number","223","units","0","v1331262082","1.105.3","1566","","","","0"
"2019-01","Canada","2021A000011124","Campbell River, British Columbia","Civil local movements","Number","223","units","0","v1331262083","1.105.4","1566","","","","0"
"2019-01","Canada","2021A000011124","Campbell River, British Columbia","Military local movements","Number","223","units","0","v1331262084","1.105.5","","..","","","0"
"2019-01","Canada","2021A000011124","Castlegar, British Columbia","Total, itinerant and local movements","Number","223","units","0","v1331261945","1.60.1","360","","","","0"
"2019-01","Canada","2021A000011124","Castlegar, British Columbia","Itinerant movements","Number","223","units","0","v1331261946","1.60.2","222","","","","0"
"2019-01","Canada","2021A000011124","Castlegar, British Columbia","Local movements","Number","223","units","0","v1331261947","1.60.3","138","","","","0"
"2019-01","Canada","2021A000011124","Castlegar, British Columbia","Civil local movements","Number","223","units","0","v1331261948","1.60.4","138","","","","0"
"2019-01","Canada","2021A000011124","Castlegar, British Columbia","Military local movements","Number","223","units","0","v1331261949","1.60.5","","..","","","0"
"2019-01","Canada","2021A000011124","Charlottetown, Prince Edward Island","Total, itinerant and local movements","Number","223","units","0","v1331261950","1.63.1","947","","","","0"
"2019-01","Canada","2021A000011124","Charlottetown, Prince Edward Island","Itinerant movements","Number","223","units","0","v1331261951","1.63.2","643","","","","0"
"2019-01","Canada","2021A000011124","Charlottetown, Prince Edward Island","Local movements","Number","223","units","0","v1331261952","1.63.3","304","","","","0"
"2019-01","Canada","2021A000011124","Charlottetown, Prince Edward Island","Civil local movements","Number","223","units","0","v1331261953","1.63.4","296","","","","0"
"2019-01","Canada","2021A000011124","Charlottetown, Prince Edward Island","Military local movements","Number","223","units","0","v1331261954","1.63.5","8","","","","0"
"2019-01","Canada","2021A000011124","Chicoutimi/St-Honoré, Quebec","Total, itinerant and local movements","Number","223","units","0","v1374990561","1.4992.1","835","","","","0"
"2019-01","Canada","2021A000011124","Chicoutimi/St-Honoré, Quebec","Itinerant movements","Number","223","units","0","v1374990562","1.4992.2","255","","","","0"
"2019-01","Canada","2021A000011124","Chicoutimi/St-Honoré, Quebec","Local movements","Number","223","units","0","v1374990563","1.4992.3","580","","","","0"
"2019-01","Canada","2021A000011124","Chicoutimi/St-Honoré, Quebec","Civil local movements","Number","223","units","0","v1374990564","1.4992.4","580","","","","0"
"2019-01","Canada","2021A000011124","Chicoutimi/St-Honoré, Quebec","Military local movements","Number","223","units","0","v1374990565","1.4992.5","","..","","","0"
"2019-01","Canada","2021A000011124","Churchill, Manitoba","Total, itinerant and local movements","Number","223","units","0","v1331261940","1.56.1","336","","","","0"
"2019-01","Canada","2021A000011124","Churchill, Manitoba","Itinerant movements","Number","223","units","0","v1331261941","1.56.2","336","","","","0"
"2019-01","Canada","2021A000011124","Churchill, Manitoba","Local movements","Number","223","units","0","v1331261942","1.56.3","","..","","","0"
"2019-01","Canada","2021A000011124","Churchill, Manitoba","Civil local movements","Number","223","units","0","v1331261943","1.56.4","","..","","","0"
"2019-01","Canada","2021A000011124","Churchill, Manitoba","Military local movements","Number","223","units","0","v1331261944","1.56.5","","..","","","0"
"2019-01","Canada","2021A000011124","Cranbrook, British Columbia","Total, itinerant and local movements","Number","223","units","0","v1331261960","1.68.1","1327","","","","0"
"2019-01","Canada","2021A000011124","Cranbrook, British Columbia","Itinerant movements","Number","223","units","0","v1331261961","1.68.2","1009","","","","0"
"2019-01","Canada","2021A000011124","Cranbrook, British Columbia","Local movements","Number","223","units","0","v1331261962","1.68.3","318","","","","0"
"2019-01","Canada","2021A000011124","Cranbrook, British Columbia","Civil local movements","Number","223","units","0","v1331261963","1.68.4","318","","","","0"
"2019-01","Canada","2021A000011124","Cranbrook, British Columbia","Military local movements","Number","223","units","0","v1331261964","1.68.5","","..","","","0"
"2019-01","Canada","2021A000011124","Deer Lake, Newfoundland and Labrador","Total, itinerant and local movements","Number","223","units","0","v1331261975","1.72.1","1279","","","","0"
"2019-01","Canada","2021A000011124","Deer Lake, Newfoundland and Labrador","Itinerant movements","Number","223","units","0","v1331261976","1.72.2","1089","","","","0"
"2019-01","Canada","2021A000011124","Deer Lake, Newfoundland and Labrador","Local movements","Number","223","units","0","v1331261977","1.72.3","190","","","","0"
"2019-01","Canada","2021A000011124","Deer Lake, Newfoundland and Labrador","Civil local movements","Number","223","units","0","v1331261978","1.72.4","190","","","","0"
"2019-01","Canada","2021A000011124","Deer Lake, Newfoundland and Labrador","Military local movements","Number","223","units","0","v1331261979","1.72.5","","..","","","0"
"2019-01","Canada","2021A000011124","Edmonton International, Alberta","Total, itinerant and local movements","Number","223","units","0","v1331261930","1.52.1","11568","","","","0"
"2019-01","Canada","2021A000011124","Edmonton International, Alberta","Itinerant movements","Number","223","units","0","v1331261931","1.52.2","11448","","","","0"
"2019-01","Canada","2021A000011124","Edmonton International, Alberta","Local movements","Number","223","units","0","v1331261932","1.52.3","120","","","","0"
"2019-01","Canada","2021A000011124","Edmonton International, Alberta","Civil local movements","Number","223","units","0","v1331261933","1.52.4","120","","","","0"
"2019-01","Canada","2021A000011124","Edmonton International, Alberta","Military local movements","Number","223","units","0","v1331261934","1.52.5","","..","","","0"
"2019-01","Canada","2021A000011124","Edmonton/Villeneuve, Alberta","Total, itinerant and local movements","Number","223","units","0","v1374990576","1.5011.1","5364","","","","0"
"2019-01","Canada","2021A000011124","Edmonton/Villeneuve, Alberta","Itinerant movements","Number","223","units","0","v1374990577","1.5011.2","1628","","","","0"
"2019-01","Canada","2021A000011124","Edmonton/Villeneuve, Alberta","Local movements","Number","223","units","0","v1374990578","1.5011.3","3736","","","","0"
"2019-01","Canada","2021A000011124","Edmonton/Villeneuve, Alberta","Civil local movements","Number","223","units","0","v1374990579","1.5011.4","3736","","","","0"
"2019-01","Canada","2021A000011124","Edmonton/Villeneuve, Alberta","Military local movements","Number","223","units","0","v1374990580","1.5011.5","","..","","","0"
"2019-01","Canada","2021A000011124","Fort McMurray, Alberta","Total, itinerant and local movements","Number","223","units","0","v1331261905","1.43.1","2312","","","","0"
