"REF_DATE","GEO","DGUID","Airports","Type of operation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-01","Canada","2021A000011124","Total, all airports","Air carrier movements, level I-III and foreign air carriers","Number","223","units","0","v1376027686","1.100001.1","131338","","","","0"
"2022-01","Canada","2021A000011124","Total, all airports","Air carrier movements, level IV-VI","Number","223","units","0","v1376027687","1.100001.2","33119","","","","0"
"2022-01","Canada","2021A000011124","Total, all airports","Other commercial movements","Number","223","units","0","v1376027688","1.100001.3","15283","","","","0"
"2022-01","Canada","2021A000011124","Total, all airports","Private movements","Number","223","units","0","v1376027689","1.100001.4","15795","","","","0"
"2022-01","Canada","2021A000011124","Total, all airports","Government civil movements","Number","223","units","0","v1376027690","1.100001.5","3773","","","","0"
"2022-01","Canada","2021A000011124","Total, all airports","Government military movements","Number","223","units","0","v1376027691","1.100001.6","1383","","","","0"
"2022-01","Canada","2021A000011124","Total, NAV CANADA towers and flight service stations","Air carrier movements, level I-III and foreign air carriers","Number","223","units","0","v1376027692","1.100002.1","122980","","","","0"
"2022-01","Canada","2021A000011124","Total, NAV CANADA towers and flight service stations","Air carrier movements, level IV-VI","Number","223","units","0","v1376027693","1.100002.2","29701","","","","0"
"2022-01","Canada","2021A000011124","Total, NAV CANADA towers and flight service stations","Other commercial movements","Number","223","units","0","v1376027694","1.100002.3","14883","","","","0"
"2022-01","Canada","2021A000011124","Total, NAV CANADA towers and flight service stations","Private movements","Number","223","units","0","v1376027695","1.100002.4","15051","","","","0"
"2022-01","Canada","2021A000011124","Total, NAV CANADA towers and flight service stations","Government civil movements","Number","223","units","0","v1376027696","1.100002.5","3308","","","","0"
"2022-01","Canada","2021A000011124","Total, NAV CANADA towers and flight service stations","Government military movements","Number","223","units","0","v1376027697","1.100002.6","1117","","","","0"
"2022-01","Canada","2021A000011124","Abbotsford, British Columbia","Air carrier movements, level I-III and foreign air carriers","Number","223","units","0","v1376027704","1.1.1","578","","","","0"
"2022-01","Canada","2021A000011124","Abbotsford, British Columbia","Air carrier movements, level IV-VI","Number","223","units","0","v1376027705","1.1.2","2060","","","","0"
"2022-01","Canada","2021A000011124","Abbotsford, British Columbia","Other commercial movements","Number","223","units","0","v1376027706","1.1.3","99","","","","0"
"2022-01","Canada","2021A000011124","Abbotsford, British Columbia","Private movements","Number","223","units","0","v1376027707","1.1.4","482","","","","0"
"2022-01","Canada","2021A000011124","Abbotsford, British Columbia","Government civil movements","Number","223","units","0","v1376027708","1.1.5","9","","","","0"
"2022-01","Canada","2021A000011124","Abbotsford, British Columbia","Government military movements","Number","223","units","0","v1376027709","1.1.6","58","","","","0"
"2022-01","Canada","2021A000011124","Boundary Bay, British Columbia","Air carrier movements, level I-III and foreign air carriers","Number","223","units","0","v1376028406","1.5069.1","17","","","","0"
"2022-01","Canada","2021A000011124","Boundary Bay, British Columbia","Air carrier movements, level IV-VI","Number","223","units","0","v1376028407","1.5069.2","122","","","","0"
"2022-01","Canada","2021A000011124","Boundary Bay, British Columbia","Other commercial movements","Number","223","units","0","v1376028408","1.5069.3","1598","","","","0"
"2022-01","Canada","2021A000011124","Boundary Bay, British Columbia","Private movements","Number","223","units","0","v1376028409","1.5069.4","572","","","","0"
"2022-01","Canada","2021A000011124","Boundary Bay, British Columbia","Government civil movements","Number","223","units","0","v1376028410","1.5069.5","41","","","","0"
