flight_id,date,icao,type_code,pass_idx,cpa_timestamp,dist_km,alt_baro,alt_geom,track,gs,lat,lon,num_points,duration_sec,vs_ft_min
9,2025-01-01,C05029,C172,0,1735718792.67,1.4711,1725.0,1675.0,88.8,93.0,49.300123,-122.984643,1,0.0,
3,2025-01-01,C0464C,C172,0,1735731184.75,1.1231,1300.0,1300.0,267.5,113.1,49.296865,-122.987823,4,25.610000133514404,-702.8504453791231
3,2025-01-01,C0464C,C172,1,1735732089.73,0.6435,1800.0,1850.0,85.4,100.3,49.292679,-122.98483,4,38.22999978065491,0.0
3,2025-01-01,C0464C,C172,2,1735737150.06,0.6681,1800.0,1850.0,274.5,101.3,49.292908,-122.985323,3,31.509999990463257,0.0
3,2025-01-01,C0464C,C172,3,1735737814.37,0.8907,1800.0,1800.0,87.5,91.1,49.294785,-122.98314,8,42.21000003814697,142.14641067466346
1,2025-01-01,C055F7,DH8D,0,1735751277.39,0.4613,7900.0,7675.0,32.9,259.6,49.288532,-122.991148,4,14.609999895095825,1950.7186998383665
13,2025-01-01,C06123,DH8D,0,1735753829.07,0.3814,7200.0,7000.0,24.2,258.7,49.287689,-122.980182,5,20.069999933242798,1793.7219790604813
2,2025-01-01,C04125,P28A,0,1735756477.44,0.4045,2450.0,2450.0,91.2,99.0,49.290068,-122.98804,4,41.77999997138977,0.0
5,2025-01-01,C055C6,DH8D,0,1735758624.01,1.2263,7900.0,7675.0,15.4,236.5,49.287927,-123.002135,3,10.049999952316284,2238.805980771601
4,2025-01-01,C05EF5,C172,0,1735767189.99,0.4096,2400.0,2250.0,90.0,103.0,49.285446,-122.980112,5,51.1800000667572,0.0
7,2025-01-01,C01473,C172,0,1735767349.29,0.2641,2300.0,2150.0,89.4,104.0,49.286577,-122.988908,6,50.96000003814697,-235.47880673110666
10,2025-01-01,C0487A,C172,0,1735766783.02,1.3082,2075.0,2050.0,273.9,103.2,49.29863,-122.983915,2,7.630000114440918,196.5923954786089
10,2025-01-01,C0487A,C172,1,1735767461.42,0.6249,1425.0,1400.0,89.4,99.0,49.292396,-122.987101,6,37.0699999332428,0.0
12,2025-01-01,C00899,A320,0,1735767942.84,0.5993,9575.0,9275.0,340.0,277.8,49.286111,-122.977126,5,15.460000038146973,3007.7619589432725
8,2025-01-01,C00E29,C172,0,1735769424.61,1.4298,1725.0,1675.0,292.0,101.4,49.29863,-122.977224,2,4.1499998569488525,-361.4457955916231
6,2025-01-01,C05B98,C185,0,1735766588.0,1.0684,1300.0,1175.0,110.1,134.1,49.277481,-122.988211,2,12.180000066757202,0.0
6,2025-01-01,C05B98,C185,1,1735771873.8,0.3101,1475.0,1350.0,293.7,126.7,49.284621,-122.982836,5,38.06000018119812,354.7030986791504
11,2025-01-01,C01301,C177,0,1735774062.44,1.3742,2325.0,2175.0,93.8,119.3,49.274734,-122.988633,2,9.22000002861023,0.0
768,2025-01-02,C0179E,C172,0,1735776887.92,0.4165,2000.0,2000.0,89.1,120.0,49.290627,-122.985872,4,30.44000005722046,-443.4953999547631
772,2025-01-02,C03DE7,C172,0,1735778569.68,0.2564,1900.0,1850.0,85.8,96.3,49.2892,-122.985042,8,45.00999999046326,133.30371031484745
779,2025-01-02,C0174F,B77W,0,1735780458.12,0.9216,7925.0,7650.0,7.0,278.1,49.28369,-122.973585,4,12.009999990463257,2997.502083978885
774,2025-01-02,C04787,B350,0,1735783097.1,0.1988,8900.0,8650.0,26.9,216.5,49.286856,-122.98804,8,22.27999997138977,134.64991040630005
773,2025-01-02,C01C5B,B350,0,1735784238.53,0.5482,9300.0,9025.0,357.9,192.1,49.288055,-122.992648,4,21.519999980926514,1672.8624550142806
775,2025-01-02,C049FF,B350,0,1735786273.26,0.5177,9675.0,9450.0,7.6,174.5,49.289277,-122.991437,5,24.949999809265137,1923.8477100979892
770,2025-01-02,C04D13,DH8D,0,1735786773.35,0.7193,8000.0,7800.0,26.0,241.5,49.282196,-122.978492,5,17.759999990463257,2027.0270281154974
776,2025-01-02,C05095,DH8D,0,1735790373.37,0.5294,6825.0,6700.0,357.9,250.2,49.282154,-122.985872,2,10.540000200271606,142.31498780819248
767,2025-01-02,C07211,C560,0,1735791387.91,0.4158,6875.0,6750.0,24.8,264.4,49.284296,-122.989414,2,13.389999866485596,0.0
781,2025-01-02,C05605,DH8D,0,1735793572.54,0.4095,8150.0,7975.0,354.9,248.0,49.284482,-122.989558,3,14.740000009536743,1628.2225226914559
780,2025-01-02,C07D20,DH8D,0,1735835188.29,1.4812,9750.0,9575.0,36.3,229.6,49.27722,-122.971272,2,4.900000095367432,2448.9795441728797
769,2025-01-02,C021F6,B737,0,1735838042.88,0.7229,8825.0,8700.0,19.5,302.4,49.283318,-122.976982,2,4.650000095367432,0.0
777,2025-01-02,C03CAD,B190,0,1735842275.96,0.7664,7950.0,7825.0,15.3,201.1,49.286407,-122.97476,4,18.080000162124634,1991.15042462309
771,2025-01-02,C07A7C,DH8D,0,1735844616.42,1.2735,8125.0,8000.0,26.9,278.2,49.28248,-122.969103,2,5.56000018119812,2158.2733109577216
783,2025-01-02,C08399,B06,0,1735845052.17,0.3709,900.0,1000.0,299.0,61.8,49.283923,-122.987607,43,165.0900001525879,36.343812432336144
