date,total_flights,unique_aircraft,min_altitude_ft,avg_altitude_ft,top_aircraft_type
2025-01-01,13,13,1425,3861.5,C172
2025-02-01,8,8,6900,8681.2,DH8D
2025-03-01,17,17,1450,2867.6,C172
2025-04-01,8,8,2025,2859.4,C172
2025-05-01,17,17,900,2450.0,C172
2025-06-01,11,11,1100,3079.5,C172
2025-07-01,19,19,1425,2271.1,C172
2025-08-01,43,43,975,4151.7,C172
2025-09-01,23,23,1125,4410.9,C172
2025-10-01,25,25,1300,8117.0,DH8D
2025-11-01,6,6,1775,4187.5,DH8D
2025-12-01,74,74,1200,6969.6,B38M
2026-01-01,49,49,2100,5212.8,DH8D
2026-02-01,67,67,5075,8203.4,DH8D
2026-03-01,67,67,1300,4848.1,DH8D
2026-04-01,46,46,1800,7837.0,B738
2026-05-01,56,56,1400,4460.7,DH8D
2026-06-01,53,53,875,4327.8,DH8D
2026-07-01,90,90,1200,6346.4,B38M
2026-08-01,49,49,1900,5412.2,C172
