date,total_flights,unique_aircraft,min_altitude_ft,avg_altitude_ft,top_aircraft_type
2025-01-01,13,13,1425.0,3861.5,C172
2025-01-02,20,20,900.0,7758.8,DH8D
2025-01-03,16,16,1700.0,8023.4,DH8D
2025-01-04,19,19,1500.0,8478.9,DH8D
2025-01-05,7,7,7750.0,8996.4,DH8D
2025-01-06,5,5,8000.0,8710.0,DH8D
2025-01-07,11,11,1500.0,7711.4,DH8D
2025-01-08,10,10,1050.0,5427.5,C172
2025-01-09,13,13,700.0,4415.4,C172
2025-01-10,17,17,1050.0,5041.2,DH8D
2025-01-11,7,7,600.0,835.7,AS50
2025-01-12,10,10,775.0,1352.5,C172
2025-01-13,26,26,750.0,6565.4,DH8D
2025-01-14,12,12,500.0,4204.2,DH8D
2025-01-15,14,14,200.0,5344.6,DH8D
2025-01-16,9,9,1700.0,5372.2,DH8D
2025-01-17,27,27,700.0,4665.7,DH8D
2025-01-18,25,25,100.0,3100.0,C172
2025-01-19,22,22,600.0,2126.1,C172
2025-01-20,18,18,750.0,3256.9,C172
2025-01-21,20,20,375.0,4466.2,DH8D
2025-01-22,21,21,800.0,7014.3,DH8D
2025-01-23,8,8,700.0,4340.6,DH8D
2025-01-24,18,18,700.0,5819.4,DH8D
2025-01-25,22,22,300.0,3500.0,C172
2025-01-26,17,17,575.0,1680.9,C172
2025-01-27,15,15,625.0,1936.7,C172
2025-01-28,15,15,850.0,3840.0,C172
2025-01-29,14,14,1300.0,5232.1,DH8D
2025-01-30,18,18,1350.0,5511.1,DH8D
2025-01-31,7,7,6950.0,8389.3,DH8D
2025-02-01,8,8,6900.0,8681.2,DH8D
2025-02-02,4,4,7650.0,8525.0,DH8D
2025-02-03,14,14,7050.0,9191.1,DH8D
2025-02-04,17,17,1300.0,8692.6,DH8D
2025-02-05,13,13,2025.0,7707.7,DH8D
2025-02-06,15,15,1800.0,7935.0,DH8D
2025-02-07,18,18,1050.0,8693.1,DH8D
2025-02-08,13,13,600.0,6117.3,C172
2025-02-09,16,16,450.0,5668.8,DH8D
2025-02-10,13,13,400.0,7465.4,DH8D
2025-02-11,13,13,1525.0,6811.5,DH8D
2025-02-12,24,24,1125.0,4691.7,C172
2025-02-13,16,16,1300.0,5756.2,DH8D
