Hour_of_Day (Pacific Local),2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08
0,1,0,0,0,0,1,1,0,0,1,0,3,0,1,0,0,1,1,2,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,1
6,0,0,0,0,0,0,0,0,0,0,0,5,2,3,5,1,2,7,6,4
7,0,0,0,0,0,0,1,0,0,2,0,7,2,2,1,4,3,1,2,4
8,0,0,0,0,0,0,0,4,2,3,0,4,1,4,1,3,1,2,4,1
9,2,2,2,0,0,0,0,1,3,3,0,3,1,3,1,4,4,0,2,0
10,1,1,1,0,0,1,1,3,2,1,0,5,5,6,3,4,1,3,6,0
11,1,0,2,1,0,1,1,2,0,0,0,7,3,6,5,3,7,6,7,0
12,0,1,2,0,4,1,2,3,0,5,0,3,2,4,11,3,8,4,5,0
13,4,1,1,1,1,1,4,3,1,1,1,2,6,5,8,0,3,3,5,0
14,2,0,2,1,3,1,1,2,3,0,1,3,3,3,5,2,2,4,11,0
15,1,0,2,1,0,1,1,2,2,2,1,6,7,4,4,3,3,0,9,0
16,0,1,0,0,3,2,2,4,1,2,3,3,3,6,0,0,3,7,6,0
17,2,1,0,1,1,0,2,1,1,0,7,3,4,5,4,6,3,2,7,0
18,1,1,3,0,0,0,2,3,1,0,5,5,1,5,2,1,3,3,4,0
19,0,0,0,1,0,0,8,2,0,1,3,1,4,4,1,1,1,5,6,0
20,0,1,0,1,0,1,2,1,1,0,0,2,3,0,5,2,2,0,3,0
21,0,0,1,2,0,0,3,1,2,1,2,1,4,1,3,3,2,4,1,0
22,0,1,0,1,1,3,1,0,0,0,6,1,2,1,1,1,0,6,14,0
23,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,1,2,3,0
