month,total_flights,days_analyzed,daily_min,daily_max,daily_median,daily_mean,sem,unique_aircraft
2025-01,476,31,2,31,16.0,15.4,1.21,229
2025-02,422,28,2,28,15.5,15.1,1.11,185
2025-03,460,31,4,31,15.0,14.8,1.25,213
2025-04,474,30,6,26,15.5,15.8,0.93,251
2025-05,581,31,3,38,17.0,18.7,1.49,274
2025-06,666,30,9,37,21.5,22.2,1.33,300
2025-07,620,31,4,36,20.0,20.0,1.35,287
2025-08,624,31,7,38,19.0,20.1,1.37,312
2025-09,463,29,3,36,13.0,16.0,1.83,250
2025-10,386,30,2,32,11.5,12.9,1.41,217
2025-11,580,30,1,78,13.5,19.3,3.47,296
2025-12,1675,31,27,92,57.0,54.0,3.05,645
2026-01,1794,31,29,86,59.0,57.9,2.71,702
2026-02,1365,27,10,92,51.0,50.6,3.6,595
2026-03,1319,30,15,91,37.5,44.0,4.06,576
2026-04,1236,30,16,67,41.5,41.2,2.15,575
2026-05,1284,29,8,89,45.0,44.3,3.0,576
2026-06,1194,29,3,91,37.0,41.2,3.9,588
2026-07,1870,30,12,124,56.5,62.3,5.14,789
2026-08,2449,31,16,125,88.0,79.0,4.85,873
